id,start_node,end_node,lbl,source_idx,target_idx,label_encoded
E_c31f645e-9858-5aca-85ec-8a8c10fceb4a,SENSORDATA_02ed9333-dcd2-5481-8d90-7712759cc833,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_7c77e576-24da-520c-a95b-0c5faf521508,SENSORDATA_48785641-22d3-5f0a-8dee-52ea70db73e7,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_74445a04-6945-5546-8cac-778fa5635cc7,SENSORDATA_74f8b22e-4bf2-5e67-8779-31d1ecfac979,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_7245d162-2e64-5b07-a1ce-cdebcd2351a1,SENSORDATA_437d6bcd-0550-54a3-8291-43fdccefe9dd,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_d941d563-d4a8-5d87-9f57-bd7765ff6229,SENSORDATA_3f5eb9b2-6100-5ccf-861c-76bf1e68b9aa,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_c6ad95fc-38bc-57d6-8208-2fb08402a4b6,SENSORDATA_3a70513d-c731-53cb-8735-9a9d5451591a,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_f101d6cc-6662-5fce-86bd-267a44de3199,SENSORDATA_20f4fe7b-7fdb-5436-bf8f-40e66603193e,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_db0cb98d-8b26-5ad1-ae6e-5a89fb5efb89,SENSORDATA_d0a1a06a-7699-55cb-ad3f-76853ccf19d5,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_813dda13-168f-560c-9b87-84ad40d2f486,SENSORDATA_018c2968-be76-51db-974d-3cd54e8a7edc,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_416c398e-6d47-5c10-80be-5c09b2caa283,SENSORDATA_b6ee7629-e93d-531b-ae63-8673e163fcf0,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_139ce1aa-8d47-5506-ba76-974b10e7544b,SENSORDATA_f15f20be-70a9-5d71-88ce-b059fb3fa34e,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_0cc779f4-4169-5ffa-8313-d5765d335103,SENSORDATA_47c9f3ca-1c42-58ba-91c0-f00a8e033092,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_67b620f2-7255-5f63-bebf-2a5d1510e520,SENSORDATA_000b858f-bb68-5507-8bc7-5f5f48cc1e20,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_c59a95cd-a5ec-590e-8ada-cf845ca1ecf8,SENSORDATA_29351ea0-3fa8-54bb-b25b-94fc303766b8,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_b33645ae-eadd-518b-9f5a-2155c69d5848,SENSORDATA_470ea1dc-fa75-555d-8f96-c6ed3bad4d60,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_24c4e1a1-1f04-5924-a4ab-e6502c16224c,SENSORDATA_a8b360d5-e266-53ed-8773-e4be1b81a725,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_e86a7686-2e59-56f0-81b8-3ad884bdbf12,SENSORDATA_9335b3bc-ed18-56f3-96e0-2ea71a6c5507,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_a19aff9e-87c8-5609-9a06-c2a431bd39e4,SENSORDATA_f8d81b1b-eda3-597b-9641-ba706ef09b24,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_b38d49d2-6a38-5b7d-a9d4-12e423c40719,SENSORDATA_60777044-8c09-5a81-b838-921b8bed0229,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_e053fc95-2281-5386-9ecd-b34fe0180ba3,SENSORDATA_d0d57170-944d-507b-b79f-766ade407f4c,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_e7fbd195-8f7f-5e07-9267-57953e1be384,SENSORDATA_889769b4-e82a-57af-8383-4bd95861763f,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_9b02542a-37c2-566e-bedc-a2fbb7458f64,SENSORDATA_a8ac705e-a48b-5497-aadb-580beccde069,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_3d7413c8-efbf-56f2-afb3-a64ceb9606fa,SENSORDATA_a144852b-d1e1-5a7f-addf-b52eb7bb67c3,PLANT_39a6a510-b86e-4296-81e1-d1e714f34af4,MEASURES,,,1
E_efc95380-2ec1-5de5-abbd-668e7076cfb3,SENSORDATA_22e46b7b-bfb4-55b3-a1b3-69477cf0142a,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_997584dd-adb4-559a-affe-5a950cd43e30,SENSORDATA_f73612e1-b4e3-5f1d-8b12-afffdb942a67,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_58a9da94-0bb3-5fdf-98b3-6b42f5d650ef,SENSORDATA_8254ad4d-5afd-5732-a5a4-9b5be6d1abe5,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_66ffb3dd-8d27-53ce-9e2e-ff4c15f8bcdd,SENSORDATA_bc3ddc80-5c08-57c7-b815-67c929d5621f,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_37111124-f6e3-5995-ad51-db2d4af94a89,SENSORDATA_3dfc7c3c-8027-5369-88ca-381a2894e87f,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_3419005f-e5d4-559e-9e5e-fb4baff01063,SENSORDATA_7974ba6e-718f-5daf-8edf-e7fdb28a3468,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_ec772979-8855-55b3-8fc8-859df54ac735,SENSORDATA_01b4d99a-6b36-5441-a860-49c3d635833d,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_7f2bfc11-10f0-535e-8e1a-5da50df5077a,SENSORDATA_224d8231-a264-57db-a462-5cb5311aa49c,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_899a52af-7ce0-5113-a029-5503b18cb758,SENSORDATA_0a88329b-f01e-5907-a731-e9f4844a44ea,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_23110f9d-8b49-5a2e-9afe-6e4a1e016057,SENSORDATA_a07fcfd3-0ba0-5571-8d15-de65e03ea131,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_b89b364f-6541-5563-8024-714261070975,SENSORDATA_9572f9bd-129e-513c-9410-f8e750e48672,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_e118c2b1-7ea0-5b57-a370-ba8e90348153,SENSORDATA_10652f09-815f-50c8-bb55-a0e3b3e8cca3,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
